ID X Y Elevation Lon Lat
162 463.9661 441.4896 1025.55 -95.9955590267288 23.0040625092776
163 585.6567 283.7543 1016.45 -95.9943943222797 23.0026109691114
164 530.0282 342.2607 1020.3 -95.9949267467089 23.0031493749517
165 516.8265 199.7937 1018.25 -95.9950531799641 23.0018383952567
166 640 0 1008 -95.9938743444566 22.9999998101918
167 584.6344 160.3312 1013.95 -95.9944041768986 23.0014752242752
168 683.6576 78.21616 1007.35 -95.9934564313174 23.0007195368232
169 504.2194 100.1431 1016.75 -95.9951738976297 23.0009214092835
170 597.4616 75.03566 1011.75 -95.9942814505917 23.000690320734
171 704 0 1004.75 -95.9932617789042 22.9999997703321
172 736 50.07595 1004.25 -95.9929554605995 23.000460553409
173 896 0 1003.75 -95.9914240822506 22.9999996279759
174 1424.711 268.0557 1035.65 -95.9863632431128 23.0024657284143
175 1469.365 60.02082 1033.7 -95.985936127789 23.0005513176335
176 1452.361 126.421 1034 -95.9860987868148 23.0011623610327
177 1505.38 172.4 1037.65 -95.9855912509339 23.0015853904106
178 1393.861 76.06316 1030.25 -95.9866587848006 23.0006990409838
179 1437.559 197.0476 1034.9 -95.9862403656666 23.0018122916084
180 1382.337 148.6094 1031 -95.986768989055 23.0013666323438
181 1294.943 97.53877 1025.75 -95.9876055427214 23.0008967847568
182 266.5576 629.3087 1039.35 -95.9974485257188 23.0057908781756
183 208.17 754.9747 1044.6 -95.9980073833045 23.0069472571604
184 321.7881 811.5556 1040.2 -95.9969198059538 23.0074678795016
185 1128.163 229.4387 1020.1 -95.9892017224808 23.0021107240423
186 430.1422 810.6351 1034.7 -95.9958826279771 23.0074593714284
187 490.8494 823.3014 1032 -95.9953015254838 23.0075758990656
188 411.4635 872.3815 1036.9 -95.9960613982074 23.0080275601049
189 433.0466 937.4475 1036.95 -95.9958547737696 23.0086262782322
190 202.5 1000 1049.75 -95.9980616090719 23.0092019426467
191 303.75 1000 1044.75 -95.9970924136083 23.0092019188922
